Temperature (K)	Pressure (MPa)	Density (l, mol/m3)	Volume (l, m3/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/m3)	Volume (v, m3/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
144.00	3.7361	21904.	4.5655e-05	-1.7141	-1.5435	80.965	19.164	120.88	313.81	1.4526	5.2424e-05	0.054218	0.00070758	5719.1	0.00017485	0.61202	1.2653	100.47	21.858	132.40	177.93	10.211	1.5937e-05	0.020252
144.11	3.7530	21848.	4.5771e-05	-1.7047	-1.5329	81.033	19.201	122.32	312.01	1.4720	5.2171e-05	0.054092	0.00069254	5761.3	0.00017357	0.60584	1.2573	100.39	21.937	134.63	177.79	10.165	1.5987e-05	0.020382
144.22	3.7699	21792.	4.5888e-05	-1.6953	-1.5223	81.102	19.239	123.80	310.19	1.4918	5.1918e-05	0.053966	0.00067758	5804.0	0.00017229	0.59956	1.2491	100.32	22.017	136.93	177.65	10.119	1.6038e-05	0.020514
144.33	3.7869	21736.	4.6008e-05	-1.6858	-1.5116	81.171	19.278	125.34	308.36	1.5119	5.1664e-05	0.053841	0.00066268	5847.4	0.00017102	0.59320	1.2408	100.24	22.098	139.32	177.50	10.073	1.6090e-05	0.020649
144.44	3.8039	21678.	4.6129e-05	-1.6763	-1.5008	81.240	19.319	126.94	306.51	1.5324	5.1409e-05	0.053716	0.00064786	5891.3	0.00016974	0.58674	1.2324	100.16	22.181	141.80	177.35	10.026	1.6143e-05	0.020787
144.56	3.8210	21621.	4.6252e-05	-1.6667	-1.4899	81.310	19.361	128.59	304.64	1.5533	5.1153e-05	0.053592	0.00063311	5935.7	0.00016847	0.58018	1.2239	100.08	22.265	144.37	177.20	9.9795	1.6196e-05	0.020928
144.67	3.8382	21562.	4.6377e-05	-1.6570	-1.4790	81.380	19.405	130.30	302.76	1.5745	5.0896e-05	0.053468	0.00061844	5980.8	0.00016720	0.57353	1.2153	100.00	22.352	147.04	177.05	9.9322	1.6250e-05	0.021071
144.78	3.8554	21504.	4.6504e-05	-1.6472	-1.4679	81.451	19.451	132.08	300.87	1.5962	5.0639e-05	0.053345	0.00060384	6026.5	0.00016593	0.56678	1.2065	99.923	22.440	149.81	176.89	9.8846	1.6305e-05	0.021217
144.89	3.8726	21444.	4.6633e-05	-1.6374	-1.4568	81.522	19.498	133.92	298.95	1.6183	5.0380e-05	0.053222	0.00058932	6072.9	0.00016467	0.55992	1.1976	99.842	22.530	152.69	176.73	9.8367	1.6360e-05	0.021366
145.00	3.8900	21384.	4.6764e-05	-1.6275	-1.4456	81.594	19.547	135.84	297.02	1.6409	5.0121e-05	0.053099	0.00057487	6119.9	0.00016340	0.55295	1.1886	99.760	22.621	155.69	176.56	9.7883	1.6417e-05	0.021519
