Temperature (K)	Pressure (MPa)	Density (l, mol/m3)	Volume (l, m3/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/m3)	Volume (v, m3/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
85.032	0.079179	35279.	2.8346e-05	-4.7986	-4.7963	53.756	21.759	44.572	854.02	-0.40110	0.00029295	0.12865	0.013107	115.29	0.0086735	1.0215	1.7083	130.25	13.016	22.314	169.11	34.680	6.9272e-06	0.0053488
85.143	0.080170	35262.	2.8359e-05	-4.7936	-4.7913	53.815	21.741	44.573	853.26	-0.40072	0.00029179	0.12850	0.013079	116.62	0.0085752	1.0225	1.7100	130.17	13.020	22.327	169.20	34.589	6.9374e-06	0.0053573
85.255	0.081171	35245.	2.8373e-05	-4.7886	-4.7863	53.873	21.724	44.575	852.49	-0.40034	0.00029064	0.12836	0.013050	117.95	0.0084783	1.0235	1.7117	130.09	13.024	22.341	169.29	34.498	6.9476e-06	0.0053658
85.366	0.082181	35228.	2.8387e-05	-4.7837	-4.7814	53.931	21.706	44.576	851.72	-0.39995	0.00028949	0.12821	0.013022	119.29	0.0083828	1.0245	1.7134	130.01	13.029	22.354	169.37	34.407	6.9578e-06	0.0053743
85.478	0.083201	35211.	2.8401e-05	-4.7787	-4.7764	53.989	21.689	44.578	850.95	-0.39956	0.00028835	0.12806	0.012993	120.65	0.0082886	1.0255	1.7151	129.93	13.033	22.368	169.46	34.317	6.9680e-06	0.0053828
85.589	0.084231	35194.	2.8414e-05	-4.7738	-4.7714	54.047	21.672	44.580	850.19	-0.39917	0.00028722	0.12791	0.012965	122.01	0.0081957	1.0265	1.7168	129.85	13.037	22.382	169.55	34.228	6.9782e-06	0.0053914
85.701	0.085270	35176.	2.8428e-05	-4.7688	-4.7664	54.105	21.655	44.582	849.42	-0.39877	0.00028610	0.12777	0.012937	123.39	0.0081042	1.0275	1.7185	129.77	13.041	22.396	169.64	34.138	6.9884e-06	0.0054000
85.812	0.086320	35159.	2.8442e-05	-4.7639	-4.7614	54.163	21.638	44.585	848.65	-0.39837	0.00028498	0.12762	0.012908	124.78	0.0080139	1.0285	1.7202	129.70	13.046	22.409	169.72	34.050	6.9986e-06	0.0054085
85.924	0.087379	35142.	2.8456e-05	-4.7589	-4.7564	54.220	21.621	44.587	847.88	-0.39797	0.00028387	0.12747	0.012880	126.19	0.0079248	1.0295	1.7219	129.62	13.050	22.423	169.81	33.961	7.0088e-06	0.0054172
86.035	0.088448	35125.	2.8470e-05	-4.7539	-4.7514	54.278	21.604	44.590	847.11	-0.39756	0.00028277	0.12732	0.012852	127.60	0.0078370	1.0304	1.7236	129.54	13.054	22.438	169.90	33.873	7.0190e-06	0.0054258
86.147	0.089528	35108.	2.8483e-05	-4.7490	-4.7464	54.336	21.587	44.593	846.34	-0.39715	0.00028167	0.12718	0.012823	129.03	0.0077504	1.0314	1.7253	129.46	13.058	22.452	169.98	33.785	7.0293e-06	0.0054344
86.258	0.090617	35091.	2.8497e-05	-4.7440	-4.7414	54.393	21.571	44.596	845.57	-0.39673	0.00028059	0.12703	0.012795	130.46	0.0076649	1.0324	1.7270	129.38	13.063	22.466	170.07	33.698	7.0395e-06	0.0054431
86.370	0.091717	35074.	2.8511e-05	-4.7391	-4.7365	54.451	21.554	44.599	844.80	-0.39631	0.00027950	0.12688	0.012767	131.91	0.0075807	1.0334	1.7286	129.30	13.067	22.480	170.15	33.611	7.0497e-06	0.0054517
86.481	0.092827	35057.	2.8525e-05	-4.7341	-4.7315	54.508	21.537	44.602	844.03	-0.39589	0.00027843	0.12673	0.012738	133.38	0.0074976	1.0343	1.7303	129.23	13.072	22.495	170.24	33.525	7.0600e-06	0.0054604
86.593	0.093947	35040.	2.8539e-05	-4.7292	-4.7265	54.565	21.521	44.606	843.25	-0.39546	0.00027736	0.12659	0.012710	134.85	0.0074156	1.0353	1.7320	129.15	13.076	22.509	170.33	33.439	7.0702e-06	0.0054691
86.704	0.095078	35022.	2.8553e-05	-4.7242	-4.7215	54.623	21.504	44.609	842.48	-0.39503	0.00027630	0.12644	0.012682	136.34	0.0073347	1.0363	1.7336	129.07	13.080	22.524	170.41	33.353	7.0805e-06	0.0054778
86.815	0.096219	35005.	2.8567e-05	-4.7192	-4.7165	54.680	21.488	44.613	841.71	-0.39459	0.00027524	0.12629	0.012654	137.84	0.0072550	1.0372	1.7353	129.00	13.085	22.539	170.50	33.268	7.0908e-06	0.0054866
86.927	0.097371	34988.	2.8581e-05	-4.7143	-4.7115	54.737	21.471	44.617	840.94	-0.39415	0.00027420	0.12614	0.012626	139.35	0.0071763	1.0382	1.7369	128.92	13.089	22.553	170.58	33.183	7.1010e-06	0.0054953
87.038	0.098533	34971.	2.8595e-05	-4.7093	-4.7065	54.794	21.455	44.621	840.16	-0.39371	0.00027315	0.12600	0.012597	140.87	0.0070987	1.0391	1.7386	128.84	13.094	22.568	170.67	33.098	7.1113e-06	0.0055041
87.150	0.099706	34954.	2.8609e-05	-4.7044	-4.7015	54.851	21.439	44.626	839.39	-0.39326	0.00027212	0.12585	0.012569	142.41	0.0070221	1.0401	1.7402	128.77	13.098	22.583	170.75	33.014	7.1216e-06	0.0055129
87.261	0.10089	34937.	2.8623e-05	-4.6994	-4.6965	54.908	21.423	44.630	838.62	-0.39281	0.00027109	0.12570	0.012541	143.96	0.0069465	1.0410	1.7419	128.69	13.103	22.598	170.83	32.930	7.1318e-06	0.0055217
87.373	0.10208	34919.	2.8637e-05	-4.6944	-4.6915	54.965	21.407	44.635	837.84	-0.39236	0.00027007	0.12555	0.012513	145.52	0.0068720	1.0420	1.7435	128.61	13.107	22.613	170.92	32.847	7.1421e-06	0.0055305
87.484	0.10329	34902.	2.8652e-05	-4.6895	-4.6865	55.021	21.391	44.640	837.07	-0.39190	0.00026905	0.12540	0.012485	147.09	0.0067984	1.0429	1.7451	128.54	13.112	22.629	171.00	32.763	7.1524e-06	0.0055393
87.596	0.10450	34885.	2.8666e-05	-4.6845	-4.6815	55.078	21.375	44.645	836.29	-0.39144	0.00026804	0.12526	0.012457	148.68	0.0067259	1.0439	1.7468	128.46	13.117	22.644	171.08	32.681	7.1627e-06	0.0055482
87.707	0.10573	34868.	2.8680e-05	-4.6796	-4.6765	55.135	21.359	44.650	835.51	-0.39097	0.00026703	0.12511	0.012428	150.28	0.0066543	1.0448	1.7484	128.39	13.121	22.659	171.17	32.598	7.1730e-06	0.0055571
87.819	0.10697	34850.	2.8694e-05	-4.6746	-4.6715	55.191	21.343	44.655	834.74	-0.39050	0.00026604	0.12496	0.012400	151.89	0.0065836	1.0457	1.7500	128.31	13.126	22.675	171.25	32.516	7.1833e-06	0.0055659
87.930	0.10822	34833.	2.8708e-05	-4.6696	-4.6665	55.248	21.327	44.660	833.96	-0.39003	0.00026504	0.12481	0.012372	153.52	0.0065139	1.0467	1.7516	128.24	13.130	22.690	171.33	32.434	7.1936e-06	0.0055749
88.042	0.10948	34816.	2.8723e-05	-4.6647	-4.6615	55.304	21.311	44.666	833.18	-0.38955	0.00026406	0.12467	0.012344	155.16	0.0064451	1.0476	1.7532	128.16	13.135	22.706	171.42	32.353	7.2039e-06	0.0055838
88.153	0.11075	34799.	2.8737e-05	-4.6597	-4.6565	55.360	21.296	44.672	832.40	-0.38907	0.00026308	0.12452	0.012316	156.81	0.0063772	1.0485	1.7548	128.09	13.140	22.722	171.50	32.272	7.2143e-06	0.0055927
88.265	0.11203	34781.	2.8751e-05	-4.6547	-4.6515	55.417	21.280	44.678	831.63	-0.38859	0.00026210	0.12437	0.012288	158.47	0.0063102	1.0494	1.7564	128.02	13.145	22.738	171.58	32.191	7.2246e-06	0.0056017
88.376	0.11333	34764.	2.8765e-05	-4.6498	-4.6465	55.473	21.264	44.684	830.85	-0.38810	0.00026113	0.12422	0.012260	160.15	0.0062441	1.0504	1.7580	127.94	13.149	22.754	171.66	32.111	7.2349e-06	0.0056107
88.487	0.11463	34747.	2.8780e-05	-4.6448	-4.6415	55.529	21.249	44.690	830.07	-0.38761	0.00026017	0.12407	0.012232	161.84	0.0061788	1.0513	1.7596	127.87	13.154	22.770	171.74	32.031	7.2453e-06	0.0056197
88.599	0.11595	34729.	2.8794e-05	-4.6398	-4.6365	55.585	21.233	44.696	829.29	-0.38711	0.00025921	0.12393	0.012204	163.55	0.0061144	1.0522	1.7611	127.79	13.159	22.786	171.82	31.952	7.2556e-06	0.0056287
88.710	0.11728	34712.	2.8808e-05	-4.6349	-4.6315	55.641	21.218	44.703	828.51	-0.38661	0.00025826	0.12378	0.012176	165.27	0.0060509	1.0531	1.7627	127.72	13.164	22.802	171.91	31.872	7.2660e-06	0.0056377
88.822	0.11862	34695.	2.8823e-05	-4.6299	-4.6265	55.697	21.202	44.709	827.73	-0.38611	0.00025731	0.12363	0.012148	167.00	0.0059881	1.0540	1.7643	127.65	13.168	22.819	171.99	31.793	7.2763e-06	0.0056468
88.933	0.11997	34677.	2.8837e-05	-4.6250	-4.6215	55.753	21.187	44.716	826.95	-0.38560	0.00025637	0.12348	0.012120	168.74	0.0059262	1.0549	1.7658	127.57	13.173	22.835	172.07	31.715	7.2867e-06	0.0056558
89.045	0.12133	34660.	2.8852e-05	-4.6200	-4.6165	55.809	21.172	44.723	826.17	-0.38509	0.00025544	0.12333	0.012092	170.50	0.0058650	1.0558	1.7674	127.50	13.178	22.852	172.15	31.636	7.2970e-06	0.0056649
89.156	0.12271	34643.	2.8866e-05	-4.6150	-4.6115	55.865	21.157	44.730	825.38	-0.38458	0.00025451	0.12319	0.012064	172.28	0.0058047	1.0567	1.7690	127.43	13.183	22.868	172.23	31.558	7.3074e-06	0.0056741
89.268	0.12409	34625.	2.8881e-05	-4.6100	-4.6065	55.920	21.142	44.737	824.60	-0.38406	0.00025358	0.12304	0.012036	174.06	0.0057451	1.0576	1.7705	127.36	13.188	22.885	172.31	31.481	7.3178e-06	0.0056832
89.379	0.12549	34608.	2.8895e-05	-4.6051	-4.6015	55.976	21.126	44.745	823.82	-0.38353	0.00025267	0.12289	0.012008	175.86	0.0056863	1.0585	1.7721	127.28	13.193	22.902	172.39	31.403	7.3282e-06	0.0056923
89.491	0.12690	34590.	2.8910e-05	-4.6001	-4.5964	56.032	21.111	44.752	823.04	-0.38301	0.00025175	0.12274	0.011980	177.68	0.0056282	1.0594	1.7736	127.21	13.198	22.919	172.47	31.326	7.3386e-06	0.0057015
89.602	0.12833	34573.	2.8924e-05	-4.5951	-4.5914	56.087	21.096	44.760	822.25	-0.38248	0.00025084	0.12259	0.011953	179.51	0.0055709	1.0602	1.7751	127.14	13.203	22.936	172.55	31.250	7.3490e-06	0.0057107
89.714	0.12976	34555.	2.8939e-05	-4.5902	-4.5864	56.143	21.081	44.768	821.47	-0.38194	0.00024994	0.12245	0.011925	181.35	0.0055143	1.0611	1.7767	127.07	13.208	22.953	172.63	31.173	7.3594e-06	0.0057199
89.825	0.13121	34538.	2.8954e-05	-4.5852	-4.5814	56.198	21.067	44.776	820.68	-0.38141	0.00024904	0.12230	0.011897	183.20	0.0054584	1.0620	1.7782	127.00	13.213	22.970	172.70	31.097	7.3698e-06	0.0057291
89.937	0.13267	34520.	2.8968e-05	-4.5802	-4.5764	56.253	21.052	44.784	819.90	-0.38086	0.00024815	0.12215	0.011869	185.08	0.0054032	1.0629	1.7797	126.93	13.218	22.988	172.78	31.022	7.3802e-06	0.0057384
90.048	0.13414	34503.	2.8983e-05	-4.5753	-4.5714	56.309	21.037	44.792	819.11	-0.38032	0.00024726	0.12200	0.011841	186.96	0.0053487	1.0637	1.7812	126.86	13.223	23.005	172.86	30.946	7.3906e-06	0.0057476
90.160	0.13563	34485.	2.8998e-05	-4.5703	-4.5663	56.364	21.022	44.801	818.33	-0.37977	0.00024638	0.12185	0.011813	188.86	0.0052949	1.0646	1.7827	126.78	13.228	23.023	172.94	30.871	7.4010e-06	0.0057569
90.271	0.13712	34468.	2.9012e-05	-4.5653	-4.5613	56.419	21.007	44.809	817.54	-0.37922	0.00024550	0.12171	0.011786	190.77	0.0052418	1.0655	1.7842	126.71	13.233	23.040	173.02	30.796	7.4115e-06	0.0057662
90.382	0.13863	34450.	2.9027e-05	-4.5603	-4.5563	56.474	20.993	44.818	816.75	-0.37866	0.00024463	0.12156	0.011758	192.70	0.0051894	1.0663	1.7857	126.64	13.238	23.058	173.10	30.722	7.4219e-06	0.0057756
90.494	0.14015	34433.	2.9042e-05	-4.5554	-4.5513	56.529	20.978	44.827	815.97	-0.37810	0.00024376	0.12141	0.011730	194.65	0.0051376	1.0672	1.7872	126.57	13.243	23.076	173.17	30.648	7.4324e-06	0.0057849
90.605	0.14169	34415.	2.9057e-05	-4.5504	-4.5463	56.584	20.964	44.836	815.18	-0.37754	0.00024290	0.12126	0.011702	196.60	0.0050864	1.0680	1.7887	126.50	13.248	23.094	173.25	30.574	7.4428e-06	0.0057943
90.717	0.14324	34398.	2.9072e-05	-4.5454	-4.5412	56.639	20.949	44.845	814.39	-0.37697	0.00024204	0.12111	0.011674	198.57	0.0050359	1.0689	1.7902	126.43	13.253	23.112	173.33	30.500	7.4533e-06	0.0058037
90.828	0.14480	34380.	2.9086e-05	-4.5404	-4.5362	56.694	20.935	44.854	813.60	-0.37639	0.00024118	0.12097	0.011647	200.56	0.0049860	1.0697	1.7917	126.36	13.259	23.130	173.40	30.427	7.4637e-06	0.0058131
90.940	0.14637	34363.	2.9101e-05	-4.5354	-4.5312	56.749	20.920	44.864	812.81	-0.37582	0.00024033	0.12082	0.011619	202.56	0.0049367	1.0706	1.7932	126.29	13.264	23.149	173.48	30.354	7.4742e-06	0.0058225
91.051	0.14796	34345.	2.9116e-05	-4.5305	-4.5262	56.804	20.906	44.873	812.02	-0.37524	0.00023949	0.12067	0.011591	204.58	0.0048880	1.0714	1.7946	126.22	13.269	23.167	173.56	30.281	7.4847e-06	0.0058319
91.163	0.14956	34327.	2.9131e-05	-4.5255	-4.5211	56.858	20.892	44.883	811.23	-0.37465	0.00023865	0.12052	0.011564	206.61	0.0048400	1.0722	1.7961	126.15	13.274	23.186	173.63	30.209	7.4952e-06	0.0058414
91.274	0.15117	34310.	2.9146e-05	-4.5205	-4.5161	56.913	20.877	44.893	810.44	-0.37407	0.00023781	0.12037	0.011536	208.66	0.0047925	1.0731	1.7975	126.08	13.280	23.204	173.71	30.137	7.5057e-06	0.0058509
91.386	0.15279	34292.	2.9161e-05	-4.5155	-4.5111	56.967	20.863	44.903	809.65	-0.37348	0.00023698	0.12023	0.011508	210.72	0.0047456	1.0739	1.7990	126.02	13.285	23.223	173.78	30.065	7.5161e-06	0.0058604
91.497	0.15443	34275.	2.9176e-05	-4.5105	-4.5060	57.022	20.849	44.913	808.86	-0.37288	0.00023616	0.12008	0.011481	212.80	0.0046993	1.0747	1.8004	125.95	13.290	23.242	173.86	29.994	7.5267e-06	0.0058700
91.609	0.15608	34257.	2.9191e-05	-4.5055	-4.5010	57.076	20.835	44.923	808.07	-0.37228	0.00023534	0.11993	0.011453	214.89	0.0046535	1.0755	1.8019	125.88	13.296	23.261	173.93	29.922	7.5372e-06	0.0058795
91.720	0.15775	34239.	2.9206e-05	-4.5006	-4.4960	57.131	20.821	44.933	807.27	-0.37168	0.00023452	0.11978	0.011425	217.00	0.0046083	1.0764	1.8033	125.81	13.301	23.280	174.01	29.851	7.5477e-06	0.0058891
91.832	0.15943	34222.	2.9221e-05	-4.4956	-4.4909	57.185	20.807	44.944	806.48	-0.37107	0.00023371	0.11963	0.011398	219.12	0.0045637	1.0772	1.8047	125.74	13.306	23.299	174.08	29.781	7.5582e-06	0.0058987
91.943	0.16112	34204.	2.9236e-05	-4.4906	-4.4859	57.239	20.792	44.955	805.69	-0.37046	0.00023290	0.11949	0.011370	221.26	0.0045195	1.0780	1.8062	125.67	13.312	23.318	174.16	29.710	7.5687e-06	0.0059083
92.054	0.16282	34186.	2.9252e-05	-4.4856	-4.4808	57.294	20.779	44.965	804.89	-0.36984	0.00023209	0.11934	0.011343	223.42	0.0044760	1.0788	1.8076	125.61	13.317	23.337	174.23	29.640	7.5793e-06	0.0059180
92.166	0.16454	34168.	2.9267e-05	-4.4806	-4.4758	57.348	20.765	44.976	804.10	-0.36923	0.00023129	0.11919	0.011315	225.59	0.0044329	1.0796	1.8090	125.54	13.323	23.357	174.31	29.570	7.5898e-06	0.0059276
92.277	0.16628	34151.	2.9282e-05	-4.4756	-4.4708	57.402	20.751	44.987	803.30	-0.36860	0.00023050	0.11904	0.011288	227.77	0.0043904	1.0804	1.8104	125.47	13.328	23.377	174.38	29.501	7.6004e-06	0.0059373
92.389	0.16802	34133.	2.9297e-05	-4.4706	-4.4657	57.456	20.737	44.999	802.51	-0.36798	0.00022971	0.11889	0.011260	229.97	0.0043483	1.0812	1.8118	125.40	13.334	23.396	174.45	29.432	7.6109e-06	0.0059470
92.500	0.16978	34115.	2.9312e-05	-4.4656	-4.4607	57.510	20.723	45.010	801.71	-0.36734	0.00022892	0.11875	0.011233	232.19	0.0043068	1.0820	1.8132	125.34	13.339	23.416	174.53	29.363	7.6215e-06	0.0059567
92.612	0.17156	34097.	2.9328e-05	-4.4607	-4.4556	57.564	20.709	45.022	800.92	-0.36671	0.00022814	0.11860	0.011205	234.42	0.0042658	1.0828	1.8146	125.27	13.345	23.436	174.60	29.294	7.6321e-06	0.0059665
92.723	0.17335	34080.	2.9343e-05	-4.4557	-4.4506	57.618	20.696	45.033	800.12	-0.36607	0.00022736	0.11845	0.011178	236.67	0.0042252	1.0836	1.8160	125.20	13.350	23.456	174.67	29.225	7.6427e-06	0.0059763
92.835	0.17515	34062.	2.9358e-05	-4.4507	-4.4455	57.672	20.682	45.045	799.32	-0.36543	0.00022658	0.11830	0.011150	238.94	0.0041852	1.0843	1.8174	125.13	13.356	23.476	174.75	29.157	7.6533e-06	0.0059861
92.946	0.17697	34044.	2.9374e-05	-4.4457	-4.4405	57.726	20.668	45.057	798.52	-0.36478	0.00022581	0.11815	0.011123	241.22	0.0041456	1.0851	1.8187	125.07	13.361	23.497	174.82	29.089	7.6638e-06	0.0059959
93.058	0.17880	34026.	2.9389e-05	-4.4407	-4.4354	57.779	20.655	45.069	797.72	-0.36413	0.00022505	0.11801	0.011095	243.52	0.0041065	1.0859	1.8201	125.00	13.367	23.517	174.89	29.021	7.6745e-06	0.0060057
93.169	0.18064	34008.	2.9405e-05	-4.4357	-4.4304	57.833	20.641	45.081	796.92	-0.36348	0.00022428	0.11786	0.011068	245.83	0.0040678	1.0867	1.8215	124.94	13.373	23.537	174.96	28.954	7.6851e-06	0.0060156
93.281	0.18250	33990.	2.9420e-05	-4.4307	-4.4253	57.887	20.628	45.093	796.13	-0.36282	0.00022353	0.11771	0.011040	248.16	0.0040296	1.0874	1.8228	124.87	13.378	23.558	175.03	28.887	7.6957e-06	0.0060255
93.392	0.18438	33973.	2.9436e-05	-4.4257	-4.4202	57.940	20.614	45.106	795.32	-0.36216	0.00022277	0.11756	0.011013	250.51	0.0039918	1.0882	1.8242	124.80	13.384	23.579	175.10	28.820	7.7063e-06	0.0060354
93.504	0.18626	33955.	2.9451e-05	-4.4207	-4.4152	57.994	20.601	45.118	794.52	-0.36149	0.00022202	0.11741	0.010986	252.88	0.0039545	1.0890	1.8255	124.74	13.390	23.600	175.18	28.753	7.7169e-06	0.0060453
93.615	0.18817	33937.	2.9467e-05	-4.4157	-4.4101	58.047	20.587	45.131	793.72	-0.36082	0.00022127	0.11727	0.010958	255.26	0.0039176	1.0897	1.8269	124.67	13.395	23.621	175.25	28.687	7.7276e-06	0.0060553
93.727	0.19008	33919.	2.9482e-05	-4.4107	-4.4051	58.101	20.574	45.144	792.92	-0.36014	0.00022053	0.11712	0.010931	257.65	0.0038812	1.0905	1.8282	124.61	13.401	23.642	175.32	28.621	7.7382e-06	0.0060653
93.838	0.19202	33901.	2.9498e-05	-4.4057	-4.4000	58.154	20.561	45.157	792.12	-0.35946	0.00021979	0.11697	0.010904	260.07	0.0038452	1.0912	1.8295	124.54	13.407	23.663	175.39	28.555	7.7489e-06	0.0060753
93.949	0.19396	33883.	2.9513e-05	-4.4007	-4.3949	58.208	20.547	45.170	791.32	-0.35878	0.00021905	0.11682	0.010876	262.50	0.0038096	1.0920	1.8309	124.48	13.413	23.684	175.46	28.489	7.7595e-06	0.0060853
94.061	0.19592	33865.	2.9529e-05	-4.3957	-4.3899	58.261	20.534	45.183	790.51	-0.35809	0.00021832	0.11667	0.010849	264.95	0.0037744	1.0927	1.8322	124.41	13.419	23.706	175.53	28.424	7.7702e-06	0.0060954
94.172	0.19790	33847.	2.9545e-05	-4.3906	-4.3848	58.314	20.521	45.197	789.71	-0.35740	0.00021759	0.11653	0.010822	267.41	0.0037396	1.0934	1.8335	124.35	13.424	23.727	175.60	28.359	7.7809e-06	0.0061054
94.284	0.19989	33829.	2.9560e-05	-4.3856	-4.3797	58.367	20.508	45.210	788.90	-0.35671	0.00021687	0.11638	0.010794	269.89	0.0037052	1.0942	1.8348	124.28	13.430	23.749	175.67	28.294	7.7916e-06	0.0061155
94.395	0.20190	33811.	2.9576e-05	-4.3806	-4.3747	58.420	20.495	45.224	788.10	-0.35601	0.00021615	0.11623	0.010767	272.39	0.0036712	1.0949	1.8361	124.22	13.436	23.771	175.74	28.229	7.8023e-06	0.0061257
94.507	0.20392	33793.	2.9592e-05	-4.3756	-4.3696	58.474	20.481	45.238	787.29	-0.35531	0.00021543	0.11608	0.010740	274.91	0.0036376	1.0956	1.8374	124.15	13.442	23.793	175.81	28.165	7.8130e-06	0.0061358
94.618	0.20596	33775.	2.9608e-05	-4.3706	-4.3645	58.527	20.468	45.252	786.49	-0.35460	0.00021472	0.11593	0.010713	277.44	0.0036044	1.0964	1.8387	124.09	13.448	23.815	175.87	28.101	7.8237e-06	0.0061460
94.730	0.20801	33757.	2.9624e-05	-4.3656	-4.3594	58.580	20.455	45.266	785.68	-0.35389	0.00021401	0.11579	0.010686	279.99	0.0035715	1.0971	1.8400	124.02	13.454	23.837	175.94	28.037	7.8344e-06	0.0061562
94.841	0.21008	33739.	2.9639e-05	-4.3606	-4.3543	58.633	20.442	45.280	784.88	-0.35317	0.00021330	0.11564	0.010658	282.56	0.0035391	1.0978	1.8413	123.96	13.460	23.860	176.01	27.973	7.8451e-06	0.0061664
94.953	0.21216	33721.	2.9655e-05	-4.3556	-4.3493	58.685	20.429	45.294	784.07	-0.35245	0.00021260	0.11549	0.010631	285.15	0.0035070	1.0985	1.8425	123.89	13.466	23.882	176.08	27.910	7.8559e-06	0.0061767
95.064	0.21426	33703.	2.9671e-05	-4.3505	-4.3442	58.738	20.417	45.309	783.26	-0.35173	0.00021190	0.11534	0.010604	287.75	0.0034752	1.0992	1.8438	123.83	13.472	23.905	176.15	27.846	7.8666e-06	0.0061869
95.176	0.21637	33685.	2.9687e-05	-4.3455	-4.3391	58.791	20.404	45.324	782.45	-0.35100	0.00021120	0.11519	0.010577	290.37	0.0034439	1.0999	1.8451	123.77	13.478	23.927	176.21	27.783	7.8774e-06	0.0061972
95.287	0.21850	33666.	2.9703e-05	-4.3405	-4.3340	58.844	20.391	45.338	781.64	-0.35026	0.00021051	0.11505	0.010550	293.01	0.0034128	1.1006	1.8463	123.70	13.484	23.950	176.28	27.721	7.8881e-06	0.0062076
95.399	0.22064	33648.	2.9719e-05	-4.3355	-4.3289	58.897	20.378	45.353	780.83	-0.34953	0.00020982	0.11490	0.010523	295.67	0.0033822	1.1013	1.8476	123.64	13.490	23.973	176.35	27.658	7.8989e-06	0.0062179
95.510	0.22280	33630.	2.9735e-05	-4.3305	-4.3238	58.949	20.365	45.368	780.02	-0.34879	0.00020913	0.11475	0.010495	298.34	0.0033518	1.1020	1.8488	123.58	13.496	23.996	176.42	27.596	7.9097e-06	0.0062283
95.621	0.22498	33612.	2.9751e-05	-4.3254	-4.3187	59.002	20.352	45.383	779.21	-0.34804	0.00020845	0.11460	0.010468	301.04	0.0033219	1.1027	1.8500	123.51	13.502	24.020	176.48	27.534	7.9205e-06	0.0062387
95.733	0.22717	33594.	2.9767e-05	-4.3204	-4.3136	59.054	20.340	45.399	778.40	-0.34729	0.00020777	0.11446	0.010441	303.75	0.0032922	1.1034	1.8513	123.45	13.509	24.043	176.55	27.472	7.9313e-06	0.0062491
95.844	0.22938	33576.	2.9784e-05	-4.3154	-4.3085	59.107	20.327	45.414	777.59	-0.34654	0.00020709	0.11431	0.010414	306.48	0.0032629	1.1040	1.8525	123.39	13.515	24.066	176.61	27.410	7.9421e-06	0.0062596
95.956	0.23161	33557.	2.9800e-05	-4.3104	-4.3034	59.159	20.314	45.430	776.78	-0.34578	0.00020642	0.11416	0.010387	309.22	0.0032339	1.1047	1.8537	123.33	13.521	24.090	176.68	27.349	7.9529e-06	0.0062701
96.067	0.23385	33539.	2.9816e-05	-4.3053	-4.2983	59.212	20.302	45.446	775.96	-0.34502	0.00020575	0.11401	0.010360	311.99	0.0032052	1.1054	1.8549	123.26	13.527	24.114	176.75	27.288	7.9637e-06	0.0062806
96.179	0.23610	33521.	2.9832e-05	-4.3003	-4.2932	59.264	20.289	45.461	775.15	-0.34425	0.00020508	0.11386	0.010333	314.78	0.0031769	1.1061	1.8561	123.20	13.534	24.138	176.81	27.227	7.9745e-06	0.0062911
96.290	0.23838	33503.	2.9848e-05	-4.2953	-4.2881	59.316	20.277	45.477	774.33	-0.34348	0.00020442	0.11372	0.010306	317.58	0.0031488	1.1067	1.8573	123.14	13.540	24.162	176.88	27.166	7.9854e-06	0.0063016
96.402	0.24066	33484.	2.9865e-05	-4.2902	-4.2830	59.369	20.264	45.494	773.52	-0.34270	0.00020376	0.11357	0.010279	320.40	0.0031211	1.1074	1.8585	123.08	13.546	24.186	176.94	27.106	7.9962e-06	0.0063122
96.513	0.24297	33466.	2.9881e-05	-4.2852	-4.2779	59.421	20.252	45.510	772.70	-0.34192	0.00020310	0.11342	0.010252	323.24	0.0030937	1.1080	1.8597	123.01	13.552	24.210	177.01	27.046	8.0071e-06	0.0063228
96.625	0.24529	33448.	2.9897e-05	-4.2802	-4.2728	59.473	20.239	45.526	771.89	-0.34114	0.00020245	0.11327	0.010225	326.10	0.0030665	1.1087	1.8609	122.95	13.559	24.235	177.07	26.986	8.0180e-06	0.0063335
96.736	0.24763	33429.	2.9914e-05	-4.2751	-4.2677	59.525	20.227	45.543	771.07	-0.34035	0.00020180	0.11313	0.010198	328.98	0.0030397	1.1093	1.8621	122.89	13.565	24.259	177.14	26.926	8.0288e-06	0.0063442
96.848	0.24999	33411.	2.9930e-05	-4.2701	-4.2626	59.577	20.215	45.559	770.26	-0.33956	0.00020115	0.11299	0.010171	331.88	0.0030132	1.1100	1.8632	122.83	13.572	24.284	177.20	26.866	8.0397e-06	0.0063548
96.959	0.25236	33393.	2.9947e-05	-4.2650	-4.2575	59.630	20.202	45.576	769.44	-0.33876	0.00020051	0.11285	0.010145	334.79	0.0029869	1.1106	1.8644	122.77	13.578	24.309	177.26	26.807	8.0506e-06	0.0063656
97.071	0.25475	33374.	2.9963e-05	-4.2600	-4.2524	59.682	20.190	45.593	768.62	-0.33796	0.00019986	0.11270	0.010118	337.73	0.0029610	1.1113	1.8655	122.71	13.584	24.334	177.33	26.747	8.0615e-06	0.0063763
